Model,Source,Target,RMSE,MAE,R2,MAPE,SF_MAE,N_Events
NLinear,Separate Files,EC,0.062478285235892723,0.03980175778269768,0.879867434501648,0.7709546,0.07122596353292465,17714
DLinear,Separate Files,EC,0.0646343753249492,0.041866499930620193,0.8714330196380615,0.8152346,0.06917285919189453,17714
CALinear,Separate Files,EC,0.05958619062465722,0.037519410252571106,0.8907318115234375,0.72741854,0.06761094182729721,17714
NLinear,Separate Files,pH,0.0027342690866151275,0.0017314261058345437,0.9815310835838318,0.087000206,0.006661604158580303,1176
DLinear,Separate Files,pH,0.003343395003778713,0.002288344781845808,0.9723857045173645,0.11468664,0.005787954665720463,1176
CALinear,Separate Files,pH,0.003029531813670258,0.0017542069545015693,0.9773269295692444,0.08818123,0.00777232414111495,1176
