RMSE,MAE,R2,MAPE,SF_MAE,N_Events,Target,Source,Model,Horizon
0.04339986427118078,0.027477305382490158,0.9426881074905396,0.5334186,0.047510165721178055,8906,EC,Files,CALinear,12
0.06018104514413387,0.03846447914838791,0.8885392546653748,0.74700385,0.06640594452619553,17714,EC,Files,CALinear,24
0.08246886938483243,0.05655026435852051,0.7847701907157898,1.0963368,0.08539685606956482,35063,EC,Files,CALinear,48
