RMSE,MAE,R2,MAPE,SF_MAE,N_Events,Variant,Change_Features,Event_Loss
0.06147541147122371,0.03804650530219078,0.8836931586265564,0.736734,0.07096810638904572,17714,Baseline,No,No
0.05907029240220274,0.037478119134902954,0.8926157355308533,0.7268734,0.06655485928058624,17714,+ Features,Yes,No
0.06091789998695477,0.04092053323984146,0.8857930898666382,0.7944374,0.06830238550901413,17714,+ Event loss,No,Yes
0.060239903926669655,0.0381091944873333,0.8883211612701416,0.7394757,0.06778845191001892,17714,Full,Yes,Yes
