Actual,Predicted
220.00002,220.11568
220.0,212.31294
195.8,206.7539
209.0,205.88805
196.40001,204.71925
196.40001,204.35982
207.79999,206.19952
200.8,207.24646
218.0,208.743
218.0,208.84431
217.0,209.44118
216.0,210.76022
220.0,213.13832
195.8,206.25412
209.0,203.6427
196.40001,203.27054
196.40001,202.90251
207.79999,205.60172
200.8,207.84056
218.0,209.409
218.0,210.63168
217.0,211.19441
216.0,212.07039
216.0,212.211
195.8,202.20901
209.0,202.92336
196.40001,201.57474
196.40001,201.71324
207.79999,205.33621
200.8,207.01079
218.0,210.23
218.0,210.54456
217.0,213.25372
216.0,213.61719
216.0,213.78452
217.00002,214.62714
209.0,206.45079
196.40001,201.56755
196.40001,200.8225
207.79999,203.65031
200.8,205.8566
218.0,209.1862
218.0,212.60558
217.0,214.4934
216.0,215.68628
216.0,215.21948
217.00002,216.4228
218.0,214.51385
196.40001,197.03555
196.40001,198.27635
207.79999,202.926
200.8,207.82887
218.0,212.0859
218.0,213.62982
217.0,215.91344
216.0,215.89856
216.0,216.83446
217.00002,217.84135
218.0,216.15034
218.0,216.43726
196.40001,198.64651
207.79999,202.48302
200.8,207.50293
218.0,212.74417
218.0,214.12772
217.0,216.21956
216.0,215.37683
216.0,215.80327
217.00002,217.78001
218.0,216.43776
218.0,217.96384
219.0,216.35696
207.79999,204.91353
200.8,208.69304
218.0,214.29488
218.0,215.13174
217.0,215.15604
216.0,214.36197
216.0,214.60959
217.00002,216.16454
218.0,216.74582
218.0,218.23642
219.0,217.27856
220.0,217.30196
200.8,206.67183
218.0,212.54915
218.0,215.55455
217.0,216.04031
216.0,214.21785
216.0,213.7482
217.00002,215.45761
218.0,214.94495
218.0,217.27159
219.0,216.60133
220.0,217.52786
220.0,217.56389
218.0,216.10295
218.0,213.77472
217.0,214.52083
216.0,214.67125
216.0,214.05338
217.00002,215.11586
218.0,214.25218
218.0,217.08292
219.0,216.66063
220.0,218.24925
220.0,217.23116
221.00002,218.21239
218.0,215.00003
217.0,215.32149
216.0,214.19507
216.0,212.59225
217.00002,213.70566
218.0,213.45488
218.0,216.89543
219.0,217.01984
220.0,219.07005
220.0,217.85426
221.00002,219.42683
222.0,219.76189
217.0,214.22559
216.0,214.62993
216.0,213.84843
217.00002,214.17278
218.0,214.33844
218.0,216.95795
219.0,217.2681
220.0,218.26321
220.0,218.64221
221.00002,219.35431
222.0,219.41591
223.0,220.46814
216.0,215.51439
216.0,214.07266
217.00002,214.64017
218.0,214.77768
218.0,217.04778
219.0,217.37895
220.0,219.34383
220.0,218.31888
221.00002,219.76439
222.0,219.42184
223.0,220.1104
223.0,220.21297
216.0,216.77957
217.00002,215.53847
218.0,214.38582
218.0,217.28842
219.0,217.26698
220.0,219.43474
220.0,218.65604
221.00002,219.7814
222.0,219.55324
223.0,219.32372
223.0,219.73286
224.0,220.71683
217.00002,216.21196
218.0,216.85179
218.0,218.58806
219.0,216.02013
220.0,218.19879
220.0,218.42168
221.00002,221.19266
222.0,220.5684
223.0,220.33653
223.0,219.40288
224.0,219.79355
224.0,221.17053
218.0,216.25327
218.0,218.41798
219.0,217.47162
220.0,218.97159
220.0,219.09473
221.00002,221.14072
222.0,220.71678
223.0,220.32071
223.0,220.97285
224.0,220.88794
224.0,221.69635
224.0,222.10706
218.0,218.3038
219.0,217.05782
220.0,219.12425
220.0,220.3588
221.00002,221.24138
222.0,220.77962
223.0,220.86156
223.0,220.88358
224.0,221.37149
224.0,222.0158
224.0,222.6578
224.0,223.77084
219.0,218.58653
220.0,220.18422
220.0,219.92609
221.00002,221.58096
222.0,222.24042
223.0,220.66231
223.0,221.6316
224.0,221.18219
224.0,222.95432
224.0,222.46675
224.0,223.45058
239.0,223.90259
220.0,220.54346
220.0,220.08228
221.00002,222.30978
222.0,222.26242
223.0,221.93889
223.0,221.95636
224.0,222.56268
224.0,222.7899
224.0,223.35861
224.0,223.99397
239.0,224.42287
224.0,223.68103
220.0,221.1091
221.00002,221.61676
222.0,220.90019
223.0,222.30296
223.0,222.35239
224.0,223.2662
224.0,224.00694
224.0,224.02324
224.0,225.52798
239.0,224.64697
224.0,224.11226
223.0,223.0248
221.00002,222.38599
222.0,220.44743
223.0,221.1925
223.0,222.80862
224.0,223.51949
224.0,224.78484
224.0,224.4081
224.0,225.4997
239.0,225.29294
224.0,224.08798
223.0,222.87987
223.0,222.51328
222.0,222.83727
223.0,221.38852
223.0,221.41217
224.0,222.85646
224.0,223.94331
224.0,224.29243
224.0,225.35031
239.0,224.71266
224.0,224.61589
223.0,222.83461
223.0,222.23991
223.0,221.80637
223.0,221.40482
223.0,223.07938
224.0,222.86105
224.0,223.32855
224.0,223.55945
224.0,224.80875
239.0,224.88295
224.0,223.68008
223.0,223.25526
223.0,222.97597
223.0,221.80736
222.0,220.3135
223.0,222.94777
224.0,223.5774
224.0,224.22462
224.0,224.42004
224.0,224.8097
239.0,224.63098
224.0,223.60678
223.0,222.40402
223.0,222.03407
223.0,220.7651
222.0,220.32591
222.0,220.24722
224.0,224.47458
224.0,223.80704
224.0,224.26825
224.0,225.74908
239.0,225.21152
224.0,223.76852
223.0,222.24724
223.0,221.45844
223.0,220.6365
222.0,220.40715
222.0,219.57422
223.0,219.81097
224.0,223.19423
224.0,224.34116
224.0,226.28174
239.0,225.80154
224.0,224.48886
223.0,221.97032
223.0,221.26556
223.0,220.17331
222.0,219.90596
222.0,220.0329
223.0,219.56769
223.0,220.496
224.0,224.26634
224.0,227.12866
239.0,226.93474
224.0,224.95006
223.0,223.33324
223.0,221.45372
223.0,219.5004
222.0,218.77333
222.0,219.67833
223.0,219.36833
223.0,220.32472
225.0,220.78363
224.0,228.72409
239.0,228.50026
224.0,227.0232
223.0,224.25041
223.0,222.34631
223.0,220.31413
222.0,219.96317
222.0,219.43755
223.0,219.70319
223.0,219.0987
225.0,219.91083
224.0,220.70345
239.0,231.1687
224.0,226.79877
223.0,224.68451
223.0,224.92667
223.0,222.42505
222.0,220.72505
222.0,219.7136
223.0,219.58841
223.0,219.79816
225.0,220.83397
224.0,220.66689
224.0,221.28555
224.0,223.8459
223.0,225.82661
223.0,224.8292
223.0,222.70349
222.0,221.24295
222.0,220.5719
223.0,220.57416
223.0,220.15074
225.0,221.68367
224.0,221.4661
224.0,222.05727
225.0,221.6401
223.0,226.2757
223.0,224.54512
223.0,222.4263
222.0,221.15071
222.0,221.14471
223.0,220.70497
223.0,220.54718
225.0,221.45268
224.0,221.66473
224.0,222.42062
225.0,222.2122
224.0,223.35638
223.0,226.68634
223.0,223.18579
222.0,222.4585
222.0,221.1265
223.0,220.10164
223.0,220.2145
225.0,221.68646
224.0,221.21338
224.0,222.62048
225.0,221.86378
224.0,223.24683
224.0,223.70782
223.0,225.67793
222.0,222.55087
222.0,221.4673
223.0,222.32709
223.0,221.20438
225.0,221.74634
224.0,220.85687
224.0,220.80338
225.0,221.39363
224.0,221.97794
224.0,223.28099
224.00002,223.80157
222.0,222.1922
222.0,221.7794
223.0,222.79372
223.0,222.32343
225.0,223.18364
224.0,220.68529
224.0,220.92867
225.0,219.22244
224.0,221.3058
224.0,223.08548
224.00002,223.17632
224.0,223.77783
222.0,221.78934
223.0,223.19455
223.0,222.65549
225.0,223.58655
224.0,221.47157
224.0,221.0484
225.0,219.79002
224.0,220.5764
224.0,222.01476
224.00002,222.54356
224.0,223.71152
224.0,224.18524
223.0,222.78957
223.0,222.55006
225.0,224.40025
224.0,224.04633
224.0,222.51364
225.0,220.22594
224.0,220.922
224.0,220.80542
224.00002,222.02544
224.0,222.87949
224.0,223.87071
224.0,224.53339
